,rockets name,organization name,date,lat,lng,S/F,reason for failure
38,"Proton-M/DM-2 Enhanced | 3 x Glonass-M (Kosmos 2459, Kosmos 2460, Kosmos 2461)",Khrunichev State Research and Production Space Center,"March 1, 2010 21:19:00 UTC",46.071001,62.984999,S,Na
39,Soyuz-U | Kobalt-M (Kosmos 2462),Russian Space Forces,"April 16, 2010 15:00:00 UTC",62.960091,40.682983,S,Na
40,Kosmos-3M | Parus (Kosmos 2463),Russian Space Forces,"April 27, 2010 01:05:00 UTC",62.883229,40.868549,S,Na
41,"Proton-M/DM-2 Enhanced | 3 x Glonass-M (Kosmos 2464, Kosmos 2465, Kosmos 2466)",Khrunichev State Research and Production Space Center,"September 2, 2010 00:53:43 UTC",46.071001,62.984999,S,Na
42,"Rokot / Briz-KM | Gonets-M12 & 2 x Strela-3 (Kosmos 2467, Kosmos 2468)",Russian Space Forces,"September 8, 2010 03:30:00 UTC",62.886999,40.846984,S,Na
43,Molniya-M/2BL | Oko (Kosmos 2469),Russian Space Forces,"September 30, 2010 17:01:00 UTC",62.960091,40.682983,S,Na
44,"Proton-M/Blok DM-03 Enhanced | 3 x Glonass-M (Kosmos 2488, Kosmos 2489, Kosmos 2490)",Khrunichev State Research and Production Space Center,"December 5, 2010 10:25:00 UTC",46.071001,62.984999,F,Human error during fueling caused the upper stage mass to be too great and the rocket failure to achieve parking orbit.
45,Rokot / Briz-KM | Geo-IK-2 №11L (Kosmos 2470),Russian Space Forces,"February 1, 2011 14:00:00 UTC",62.886999,40.846984,S,Na
46,Soyuz-2.1b/Fregat | Glonass-K1 (Kosmos 2471),Russian Space Forces,"February 26, 2011 03:07:00 UTC",62.92883,40.457098,S,Na
47,Soyuz-U | Kobalt-M No.7 (Kosmos 2472),Russian Space Forces,"June 27, 2011 16:00:00 UTC",62.925556,40.577778,S,Na
48,"Pegasus XL HAPS | Multiple Paths, Beyond-Line-of-Sight Communications (MUBLCOM)  & Topographic Experiment using Radiative Recombinative Ionospheric EUV and Radio Sources (TERRIERS)",Orbital Sciences Corporation,"May 18, 1999 05:09:00 UTC",34.732778,-120.568056,S,Na
49,Pegasus XL | Interstellar Boundary Explorer (IBEX),Orbital Sciences Corporation,"October 19, 2008 17:47:23 UTC",8.716667,167.733333,S,Na
50,Ariane 5 ECA | Herschel & Planck,Arianespace,"May 14, 2009 13:12:00 UTC",5.239,-52.768,S,Na
51,Ariane 5 ECA | Azerspace-1/Africasat-1a & Amazonas 3,Arianespace,"February 7, 2013 21:36:07 UTC",5.239,-52.768,S,Na
52,Soyuz 2.1b | Persona (Kosmos-2486),Russian Aerospace Defence Forces,"June 7, 2013 18:37:59 UTC",62.92883,40.457098,S,Na
53,Long March 4B | CBERS-3,China Aerospace Science and Technology Corporation,"December 9, 2013 03:26:00 UTC",38.849,111.608,S,Na
54,Long March 4B | CBERS-4,China Aerospace Science and Technology Corporation,"December 7, 2014 03:26:04 UTC",38.849,111.608,S,Na
55,Soyuz | Persona (Kosmos 2506),Russian Aerospace Defence Forces,"June 23, 2015 16:44:00 UTC",62.92883,40.457098,S,Na
56,Long March 3B/E | BELINTERSAT-1,China Aerospace Science and Technology Corporation,"January 15, 2016 17:44:00 UTC",28.246017,102.026556,S,Na
57,"Long March 11 | Xiaoxiang-1, XPNAV-1 & 3 others.",China Aerospace Science and Technology Corporation,"November 8, 2016 23:42:00 UTC",40.958,100.291,S,Na
58,Molniya-M/2BL | Oko (Kosmos 2469),Russian Space Forces,"September 30, 2010 17:01:00 UTC",62.960091,40.682983,S,Na
59,Space Shuttle Columbia / OV-102 | STS-1,National Aeronautics and Space Administration,"April 12, 1981 12:00:04 UTC",28.60822681,-80.60428186,S,Na
60,Space Shuttle Columbia / OV-102 | STS-2,Rockwell International,"November 12, 1981 15:10:00 UTC",28.60822681,-80.60428186,S,Na
61,Space Shuttle Columbia / OV-102 | STS-3,Rockwell International,"March 22, 1982 16:00:00 UTC",28.60822681,-80.60428186,S,Na
62,Space Shuttle Columbia / OV-102 | STS-4,Rockwell International,"June 27, 1982 15:00:00 UTC",28.60822681,-80.60428186,S,Na
63,Space Shuttle Columbia / OV-102 | STS-5,Rockwell International,"November 11, 1982 12:19:00 UTC",28.60822681,-80.60428186,S,Na
64,Space Shuttle Challenger / OV-099 | STS-6,Rockwell International,"April 4, 1983 18:30:00 UTC",28.60822681,-80.60428186,S,Na
65,Space Shuttle Challenger / OV-099 | STS-7,Rockwell International,"June 18, 1983 11:33:00 UTC",28.60822681,-80.60428186,S,Na
66,Space Shuttle Challenger / OV-099 | STS-8,Rockwell International,"August 30, 1983 06:32:00 UTC",28.60822681,-80.60428186,S,Na
67,Space Shuttle Columbia / OV-102 | STS-9,Rockwell International,"November 28, 1983 16:00:00 UTC",28.60822681,-80.60428186,S,Na
68,Space Shuttle Challenger / OV-099 | STS-41-B,Lockheed Space Operations Company,"February 3, 1984 13:00:00 UTC",28.60822681,-80.60428186,S,Na
69,Space Shuttle Columbia / OV-102 | STS-1,National Aeronautics and Space Administration,"April 12, 1981 12:00:04 UTC",28.60822681,-80.60428186,S,Na
70,Space Shuttle Columbia / OV-102 | STS-2,Rockwell International,"November 12, 1981 15:10:00 UTC",28.60822681,-80.60428186,S,Na
71,Space Shuttle Columbia / OV-102 | STS-3,Rockwell International,"March 22, 1982 16:00:00 UTC",28.60822681,-80.60428186,S,Na
72,Space Shuttle Columbia / OV-102 | STS-4,Rockwell International,"June 27, 1982 15:00:00 UTC",28.60822681,-80.60428186,S,Na
73,Space Shuttle Columbia / OV-102 | STS-5,Rockwell International,"November 11, 1982 12:19:00 UTC",28.60822681,-80.60428186,S,Na
74,Space Shuttle Challenger / OV-099 | STS-6,Rockwell International,"April 4, 1983 18:30:00 UTC",28.60822681,-80.60428186,S,Na
75,Space Shuttle Challenger / OV-099 | STS-7,Rockwell International,"June 18, 1983 11:33:00 UTC",28.60822681,-80.60428186,S,Na
76,Space Shuttle Challenger / OV-099 | STS-8,Rockwell International,"August 30, 1983 06:32:00 UTC",28.60822681,-80.60428186,S,Na
77,Space Shuttle Columbia / OV-102 | STS-9,Rockwell International,"November 28, 1983 16:00:00 UTC",28.60822681,-80.60428186,S,Na
78,Space Shuttle Challenger / OV-099 | STS-41-B,Lockheed Space Operations Company,"February 3, 1984 13:00:00 UTC",28.60822681,-80.60428186,S,Na
